ligand_id,smiles
CHEMBL4847536,CC(CCc1ccc(O)cc1)NCC(O)c1ccc(O)c2[nH]c(=O)ccc12
CHEMBL5570917,O=C1COc2c(C(O)CNCCc3ccccc3F)ccc(O)c2N1
CHEMBL4871708,CC(C)(CCc1ccc(Cl)cc1)NCC(O)c1ccc(O)c2[nH]c(=O)ccc12
CHEMBL4634131,CC(C)(CCc1cccc(O)c1)NC[C@H](O)c1cc(O)cc2c1OCC(=O)N2
CHEMBL236039,COc1ccccc1CNC(=O)c1cc2cc(C[C@@H](C)NC[C@H](O)c3ccc(O)c(CO)c3)ccc2[nH]1
CHEMBL230486,CC(C)(Cc1cccc(CC(=O)NCc2ccccc2)c1)NC[C@H](O)c1ccc(O)c(CO)c1
CHEMBL4872480,O=c1ccc2c(C(O)CNCCCc3cc(F)cc(F)c3)ccc(O)c2[nH]1
CHEMBL5573592,O=C1COc2c(C(O)CNC3CC3)ccc(O)c2N1
CHEMBL230490,C[C@H](Cc1cccc(CC(=O)NCc2ccc(Cl)c(Cl)c2)c1)NC[C@H](O)c1ccc(O)c(CO)c1
CHEMBL3799125,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12
CHEMBL1221680,O=c1[nH]c2c(O)ccc([C@@H](O)CN[C@@H]3CCC[C@H]3OCc3ccccc3)c2s1
CHEMBL1263,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
CHEMBL4576089,CC(CC(=O)Nc1cccc(CCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)c1)CC(C)(C)C
CHEMBL1243407,CC(C)(Cc1ccccc1)NCC(O)c1ccc(O)c(NS(C)(=O)=O)c1
CHEMBL5574906,COc1cc(CCCNCC(O)c2ccc(O)c3c2OCC(=O)N3)cc(OC)c1OC
CHEMBL1940832,O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O
CHEMBL1807817,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCOCCc3ccccc3)c2s1
CHEMBL4456301,COc1cc(CCNC[C@H](O)COc2cccc3ccccc23)ccc1OCCCSSCCN
CHEMBL3298986,CC(C)(N)COc1ccc(Nc2ccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)ccc34)cc2)cc1
CHEMBL568272,CC(C)(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c2c1OCC(=O)N2
CHEMBL1082501,OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(Cc2cccnc2)CC1
CHEMBL4639822,O=C1COc2c(cc(O)cc2C(O)CNCCCc2cc(F)cc(F)c2)N1
CHEMBL513389,Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2
CHEMBL388570,C[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1
CHEMBL513104,CC(C)(C)NCC(O)COc1cccc2oc3ccccc3c12
CHEMBL1944691,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4ccccc4F)c3)c2s1
CHEMBL443435,NS(=O)(=O)c1cccc(CCCCOCCCCCCNC[C@H](O)c2ccc(O)c(NC=O)c2)c1
CHEMBL4542430,O=c1ccc2c(C(O)CNCCOc3ccccc3)ccc(O)c2[nH]1
CHEMBL1256786,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1
CHEMBL1082828,COc1ccc(C(=O)C2CCN(CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1
CHEMBL1945036,CC(CNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1
CHEMBL452861,CC(C)NC[C@H](O)COc1cccc2ccccc12
CHEMBL2088201,CCc1cc2c(cc1CC)CC(C)(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2
CHEMBL461463,Cc1c[nH]c2cccc(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)c12
CHEMBL122757,Oc1cc2c(cc1O)C(Cc1cc(I)cc(I)c1)NCC2
CHEMBL1221804,CN(CCCNC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12)c1ccccc1
CHEMBL1221590,CC(C)(Cc1ccccc1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12
CHEMBL1940834,Nc1c(Cl)cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)cc1Cl
CHEMBL1940816,OCc1cc(C(O)CNCCc2ccc(OCC(O)c3ccccc3)cc2)ccc1O
CHEMBL323776,CN(CCNCCc1ccc(O)c2nc(O)sc12)C(=O)CCOCCc1ccccc1
CHEMBL3290997,COc1ccc(Nc2ccc(CCNC[C@H](O)c3ccc(O)c(CO)c3)cc2)cc1-c1ccccc1
CHEMBL93298,CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1
CHEMBL82663,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1
CHEMBL1946768,O=c1[nH]c2c(O)ccc(CCNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1
CHEMBL183921,CC(COc1ccc2c(c1)NC(=O)CO2)NCC(O)COc1cccc2[nH]ccc12
CHEMBL1807873,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCNCCc3cccc(Cl)c3Cl)c2s1
CHEMBL1346,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
CHEMBL487508,COc1ccc(CC(C)(C)NC[C@H](O)COc2cccc(Cl)c2Cl)cc1
CHEMBL154370,Cc1ccc(CNC(=O)Cc2ccc(NC[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1
CHEMBL6189525,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C#N)c1
CHEMBL4465173,Clc1ccc(CNCc2ccc(-c3ncccn3)cc2)cc1Cl
CHEMBL1221541,C[C@@H](NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12)C1CCCCC1
CHEMBL1083668,CC(C)c1ccccc1OCC(O)CN1CCOCC1
CHEMBL4284146,O=c1ccc2c([C@@H](CO)NCCc3ccc(O)cc3)ccc(O)c2[nH]1
CHEMBL5557954,C=CCc1ccccc1OC[C@@H](O)CNCCCc1cn(CCCCc2ccccc2)nn1
CHEMBL4285281,COc1cc2c3c(c1OC)-c1ccccc1[C@@H](O)[C@@H]3NCC2
CHEMBL181964,C=C(C)CNc1cccc([C@@H](O)CN[C@H](C)Cc2c[nH]c3c(OS(C)(=O)=O)cccc23)c1
CHEMBL3099659,CC[C@H](Cc1ccc(OC)cc1)NC[C@H](O)c1cc(O)cc(O)c1
