,ex4_best,ex8_best,ex4_mean,ex8_mean,n_conf_ex8,heavy_atoms,ex4_ha,ex8_ha,rank_ex4_best,rank_ex8_best,rank_ex4_ha,rank_ex8_ha,enopt_ha_rank,old_decoy_rank,is_known_active,delta_best,rank_delta_best
CHEMBL35040,-12.28,-11.68,-11.515,-11.305,7,28.0,-0.43857142857142856,-0.41714285714285715,1,25,51,118,17,1932,0,0.5999999999999996,24
CHEMBL708,-12.11,-11.59,-11.594999999999999,-10.906666666666666,7,28.0,-0.4325,-0.4139285714285714,2,33,63,133,3,8214,0,0.5199999999999996,31
CHEMBL4436565,-12.06,-12.11,-11.535000000000002,-11.349666666666666,7,27.0,-0.4466666666666667,-0.4485185185185185,3,4,27,35,179,12293,0,-0.049999999999998934,1
CHEMBL38677,-12.0,-11.94,-10.828166666666666,-10.863833333333334,7,25.0,-0.48,-0.47759999999999997,4,8,5,7,110,3284,0,0.0600000000000005,4
CHEMBL21401,-11.94,-11.84,-11.38,-11.44,7,29.0,-0.41172413793103446,-0.4082758620689655,5,15,145,141,57,6184,0,0.09999999999999964,10
CHEMBL23776,-11.93,-12.02,-11.453333333333333,-11.005,7,29.0,-0.41137931034482755,-0.4144827586206896,6,5,146,128,60,2987,0,-0.08999999999999986,-1
CHEMBL4434768,-11.89,-11.92,-11.435,-11.428333333333335,7,31.0,-0.3835483870967742,-0.38451612903225807,8,9,199,194,156,65,0,-0.02999999999999936,1
CHEMBL14237,-11.89,-12.12,-10.252,-10.552166666666666,7,27.0,-0.4403703703703704,-0.44888888888888884,8,3,46,33,180,16719,0,-0.22999999999999865,-5
CHEMBL7496,-11.89,-11.91,-11.171666666666667,-11.205,7,27.0,-0.4403703703703704,-0.4411111111111111,8,10,46,55,139,294,0,-0.019999999999999574,2
CHEMBL4560002,-11.89,-11.87,-11.1475,-11.028500000000001,7,27.0,-0.4403703703703704,-0.4396296296296296,8,12,46,57,135,1632,0,0.02000000000000135,4
CHEMBL4435514,-11.84,-11.68,-11.545,-11.226666666666667,7,30.0,-0.39466666666666667,-0.3893333333333333,11,25,180,186,64,1147,0,0.16000000000000014,14
CHEMBL20953,-11.83,-11.6,-11.256666666666668,-11.270000000000001,7,28.0,-0.4225,-0.41428571428571426,12,31,108,131,146,1410,0,0.23000000000000043,19
CHEMBL37097,-11.82,-11.87,-11.2845,-11.341666666666667,7,27.0,-0.43777777777777777,-0.4396296296296296,13,12,55,57,1,411,0,-0.049999999999998934,-1
CHEMBL42325,-11.79,-11.8,-11.286666666666667,-11.26,7,28.0,-0.42107142857142854,-0.42142857142857143,14,17,113,108,59,359,0,-0.010000000000001563,3
CHEMBL4435713,-11.73,-11.22,-11.016666666666667,-10.72,7,29.0,-0.40448275862068966,-0.38689655172413795,15,68,155,191,10,9,0,0.5099999999999998,53
CHEMBL41745,-11.72,-11.88,-11.007833333333336,-11.185166666666667,7,36.0,-0.3255555555555556,-0.33,16,11,201,200,116,270,0,-0.16000000000000014,-5
CHEMBL36360,-11.7,-10.74,-10.175166666666668,-9.736500000000001,7,28.0,-0.4178571428571428,-0.38357142857142856,17,105,124,197,155,14985,0,0.9599999999999991,88
CHEMBL29751,-11.69,-11.71,-11.253333333333332,-11.208333333333334,7,29.0,-0.40310344827586203,-0.4037931034482759,19,21,161,153,157,409,0,-0.02000000000000135,2
CHEMBL23766,-11.69,-11.5,-9.994666666666665,-9.927,7,22.0,-0.5313636363636364,-0.5227272727272727,19,41,2,2,43,17169,0,0.1899999999999995,22
CHEMBL25299,-11.69,-11.4,-10.771833333333333,-10.4395,7,24.0,-0.4870833333333333,-0.47500000000000003,19,50,4,8,25,924,0,0.28999999999999915,31
CHEMBL3311046,-11.69,-11.85,-11.155666666666667,-11.243166666666667,7,26.0,-0.4496153846153846,-0.45576923076923076,19,14,22,25,12,5741,0,-0.16000000000000014,-5
CHEMBL20507,-11.67,-11.78,-11.299999999999999,-11.305,7,27.0,-0.43222222222222223,-0.4362962962962963,22,20,64,64,2,1246,0,-0.10999999999999943,-2
CHEMBL21908,-11.66,-11.68,-11.213333333333333,-11.196666666666667,7,27.0,-0.4318518518518519,-0.4325925925925926,23,25,67,66,5,939,0,-0.019999999999999574,2
CHEMBL34464,-11.66,-11.57,-10.948500000000001,-10.914666666666667,7,25.0,-0.4664,-0.4628,23,37,7,17,30,1510,0,0.08999999999999986,14
CHEMBL10118,-11.65,-11.64,-10.796833333333334,-11.121666666666668,7,28.0,-0.4160714285714286,-0.41571428571428576,25,27,129,126,113,1946,0,0.009999999999999787,2
CHEMBL32302,-11.65,-12.02,-11.311666666666667,-11.585,7,28.0,-0.4160714285714286,-0.42928571428571427,25,5,129,79,58,24,0,-0.3699999999999992,-20
CHEMBL4434887,-11.63,-11.48,-11.226666666666667,-11.098333333333334,7,28.0,-0.41535714285714287,-0.41000000000000003,27,43,133,140,200,406,0,0.15000000000000036,16
CHEMBL27049,-11.63,-11.56,-11.17,-11.148333333333333,7,26.0,-0.44730769230769235,-0.44461538461538463,27,38,26,46,35,64,0,0.07000000000000028,11
CHEMBL4435625,-11.61,-11.69,-11.298333333333332,-11.171666666666667,7,30.0,-0.38699999999999996,-0.38966666666666666,29,22,193,185,15,751,0,-0.08000000000000007,-7
CHEMBL41719,-11.6,-11.59,-11.127666666666668,-11.234333333333334,7,27.0,-0.42962962962962964,-0.42925925925925923,30,33,75,80,7,814,0,0.009999999999999787,3
CHEMBL4553177,-11.6,-11.54,-10.543,-10.739166666666668,7,27.0,-0.42962962962962964,-0.4274074074074074,30,39,75,91,66,1264,0,0.0600000000000005,9
CHEMBL22417,-11.58,-11.79,-11.165,-10.701333333333332,7,29.0,-0.3993103448275862,-0.406551724137931,33,18,168,145,199,35,0,-0.20999999999999908,-15
CHEMBL42108,-11.58,-11.61,-11.21,-10.969999999999999,7,27.0,-0.4288888888888889,-0.43,33,30,80,75,4,1512,0,-0.02999999999999936,-3
CHEMBL34924,-11.58,-11.19,-11.059666666666667,-10.868,7,27.0,-0.4288888888888889,-0.41444444444444445,33,72,80,129,8,941,0,0.39000000000000057,39
CHEMBL39490,-11.58,-11.64,-11.108333333333334,-11.121666666666664,7,25.0,-0.4632,-0.4656,33,27,8,15,6,85,0,-0.0600000000000005,-6
CHEMBL4435391,-11.56,-11.58,-11.148333333333333,-11.315,7,27.0,-0.42814814814814817,-0.4288888888888889,36,35,83,82,195,30,0,-0.019999999999999574,-1
CHEMBL13751,-11.55,-11.58,-10.985,-11.016666666666666,7,28.0,-0.41250000000000003,-0.4135714285714286,37,35,142,135,107,1718,0,-0.02999999999999936,-2
CHEMBL23718,-11.55,-11.26,-9.807833333333333,-9.946,7,22.0,-0.525,-0.5118181818181818,37,63,3,4,76,18402,0,0.2900000000000009,26
CHEMBL38078,-11.54,-11.59,-11.083333333333334,-10.979666666666667,7,28.0,-0.4121428571428571,-0.4139285714285714,39,33,143,133,56,47,0,-0.05000000000000071,-6
CHEMBL4434812,-11.53,-11.62,-10.976666666666667,-10.978833333333334,7,28.0,-0.41178571428571425,-0.415,40,29,144,127,106,162,0,-0.08999999999999986,-11
CHEMBL25666,-11.52,-11.45,-10.940166666666668,-10.855666666666666,7,25.0,-0.4608,-0.45799999999999996,41,44,12,22,45,4364,0,0.07000000000000028,3
CHEMBL571967,-11.51,-11.51,-10.5415,-10.512666666666666,7,26.0,-0.44269230769230766,-0.44269230769230766,42,40,38,50,117,75,0,0.0,-2
