ligand_id,conformation_id,best_score_kcal_mol,status
CHEMBL37097,inactive_carazolol_5D5A,-11.87,ready
CHEMBL37097,active_hbi_4LDL,-11.11,ready
CHEMBL37097,inactive_carazolol_2RH1,-11.52,ready
CHEMBL37097,active_bi167107_4LDE,-11.59,ready
CHEMBL708,inactive_carazolol_5D5A,-11.59,ready
CHEMBL37097,active_gs_complex_3SN6,-10.09,ready
CHEMBL708,inactive_carazolol_2RH1,-11.25,ready
CHEMBL20507,inactive_carazolol_2RH1,-11.62,ready
CHEMBL20507,active_bi167107_4LDE,-11.03,ready
CHEMBL20507,inactive_carazolol_5D5A,-11.78,ready
CHEMBL20507,active_gs_complex_3SN6,-10.35,ready
CHEMBL20507,active_hbi_4LDL,-11.27,ready
CHEMBL42108,inactive_carazolol_5D5A,-11.61,ready
CHEMBL708,active_bi167107_4LDE,-10.36,ready
CHEMBL42108,inactive_carazolol_2RH1,-11.49,ready
CHEMBL708,active_hbi_4LDL,-10.0,ready
CHEMBL708,active_gs_complex_3SN6,-10.65,ready
CHEMBL42108,active_gs_complex_3SN6,-10.43,ready
CHEMBL42108,active_bi167107_4LDE,-10.3,ready
CHEMBL21908,inactive_carazolol_2RH1,-11.23,ready
CHEMBL42108,active_hbi_4LDL,-10.38,ready
CHEMBL21908,inactive_carazolol_5D5A,-11.68,ready
CHEMBL21908,active_gs_complex_3SN6,-10.25,ready
CHEMBL21908,active_bi167107_4LDE,-11.06,ready
CHEMBL39490,inactive_carazolol_2RH1,-10.76,ready
CHEMBL39490,inactive_carazolol_5D5A,-10.89,ready
CHEMBL39490,active_hbi_4LDL,-11.64,ready
CHEMBL39490,active_gs_complex_3SN6,-10.23,ready
CHEMBL21908,active_hbi_4LDL,-11.28,ready
CHEMBL39490,active_bi167107_4LDE,-11.57,ready
CHEMBL41719,inactive_carazolol_2RH1,-11.37,ready
CHEMBL41719,inactive_carazolol_5D5A,-11.59,ready
CHEMBL41719,active_gs_complex_3SN6,-9.946,ready
CHEMBL41719,active_hbi_4LDL,-11.46,ready
CHEMBL41719,active_bi167107_4LDE,-11.45,ready
CHEMBL34924,inactive_carazolol_2RH1,-10.99,ready
CHEMBL34924,active_gs_complex_3SN6,-9.738,ready
CHEMBL34924,inactive_carazolol_5D5A,-11.19,ready
CHEMBL9308,inactive_carazolol_2RH1,-10.91,ready
CHEMBL34924,active_hbi_4LDL,-11.02,ready
CHEMBL9308,inactive_carazolol_5D5A,-10.87,ready
CHEMBL34924,active_bi167107_4LDE,-11.08,ready
CHEMBL9308,active_bi167107_4LDE,-11.49,ready
CHEMBL9308,active_gs_complex_3SN6,-10.09,ready
CHEMBL9308,active_hbi_4LDL,-11.49,ready
CHEMBL3311046,inactive_carazolol_5D5A,-11.56,ready
CHEMBL3311046,inactive_carazolol_2RH1,-10.96,ready
CHEMBL35020,inactive_carazolol_2RH1,-10.72,ready
CHEMBL3311046,active_gs_complex_3SN6,-9.499,ready
CHEMBL35020,active_gs_complex_3SN6,-10.13,ready
CHEMBL35020,inactive_carazolol_5D5A,-10.97,ready
CHEMBL3311046,active_bi167107_4LDE,-11.85,ready
CHEMBL4435713,active_gs_complex_3SN6,-10.23,ready
CHEMBL35020,active_hbi_4LDL,-11.03,ready
CHEMBL4435713,inactive_carazolol_2RH1,-10.47,ready
CHEMBL4435713,inactive_carazolol_5D5A,-9.97,ready
CHEMBL35020,active_bi167107_4LDE,-11.19,ready
CHEMBL3311046,active_hbi_4LDL,-11.74,ready
CHEMBL4435713,active_hbi_4LDL,-11.22,ready
CHEMBL4435713,active_bi167107_4LDE,-11.21,ready
CHEMBL7035,inactive_carazolol_5D5A,-10.96,ready
CHEMBL4435069,inactive_carazolol_5D5A,-10.91,ready
CHEMBL7035,inactive_carazolol_2RH1,-10.89,ready
CHEMBL4435069,inactive_carazolol_2RH1,-11.17,ready
CHEMBL7035,active_hbi_4LDL,-11.09,ready
CHEMBL4435069,active_gs_complex_3SN6,-10.01,ready
CHEMBL7035,active_gs_complex_3SN6,-9.918,ready
CHEMBL7035,active_bi167107_4LDE,-10.95,ready
CHEMBL4435069,active_hbi_4LDL,-10.86,ready
CHEMBL4435069,active_bi167107_4LDE,-10.76,ready
CHEMBL4435625,inactive_carazolol_2RH1,-11.45,ready
CHEMBL17703,inactive_carazolol_2RH1,-10.07,ready
CHEMBL17703,active_gs_complex_3SN6,-9.361,ready
CHEMBL17703,inactive_carazolol_5D5A,-10.19,ready
CHEMBL4435625,inactive_carazolol_5D5A,-11.69,ready
CHEMBL17703,active_bi167107_4LDE,-9.946,ready
CHEMBL17703,active_hbi_4LDL,-10.33,ready
