ligand_id,is_known_active,enopt_ha_score,enopt_ha_rank,old_decoy_rank
CHEMBL37097,0,0.97613233,1,411
CHEMBL20507,0,0.9710725,2,1246
CHEMBL708,0,0.9710725,3,8214
CHEMBL42108,0,0.9710725,4,1512
CHEMBL21908,0,0.9710725,5,939
CHEMBL39490,0,0.97073853,6,85
CHEMBL41719,0,0.9675042,7,814
CHEMBL34924,0,0.9675042,8,941
CHEMBL9308,0,0.9658987,9,5914
CHEMBL4435713,0,0.9656809,10,9
CHEMBL35020,0,0.9656809,11,8
CHEMBL3311046,0,0.96231437,12,5741
CHEMBL4435069,0,0.9621199,13,61
CHEMBL7035,0,0.9617174,14,3003
CHEMBL4435625,0,0.9601961,15,751
CHEMBL17703,0,0.9597365,16,1503
CHEMBL35040,0,0.95952094,17,1932
CHEMBL13137,0,0.9572149,18,4493
CHEMBL28358,0,0.9569439,19,13
CHEMBL22620,0,0.9569439,20,2793
CHEMBL34293,0,0.9569439,21,3
CHEMBL29371,0,0.9547278,22,5
CHEMBL20751,0,0.9547278,23,1
CHEMBL27037,0,0.9532853,24,920
CHEMBL25299,0,0.9532636,25,924
CHEMBL4560026,0,0.9531708,26,495
CHEMBL26842,0,0.95252115,27,530
CHEMBL4435940,0,0.95252115,28,1049
CHEMBL37483,0,0.95252115,29,5913
CHEMBL34464,0,0.9520216,30,1510
CHEMBL36002,0,0.9520216,31,2795
CHEMBL19349,0,0.9516352,32,1755
CHEMBL22699,0,0.95124185,33,4407
CHEMBL10746,0,0.94892865,34,9390
CHEMBL27049,0,0.94892865,35,64
CHEMBL583947,0,0.94892865,36,2620
CHEMBL1163536,0,0.94892865,37,145
CHEMBL21673,0,0.948706,38,5762
CHEMBL4553657,0,0.9483812,39,1343
CHEMBL547407,0,0.948273,40,2729
CHEMBL14209,0,0.94824356,41,1044
CHEMBL19102,0,0.9460134,42,1023
CHEMBL23766,0,0.9454943,43,17169
CHEMBL28177,0,0.9453605,44,1429
CHEMBL25666,0,0.9436341,45,4364
CHEMBL25623,0,0.9436341,46,1719
CHEMBL4435178,0,0.9427898,47,2125
CHEMBL26521,0,0.9426152,48,2372
CHEMBL4436519,0,0.9426152,49,4307
CHEMBL24539,0,0.9426152,50,2264
CHEMBL23744,0,0.94210124,51,2088
CHEMBL21258,0,0.94144225,52,304
CHEMBL33205,0,0.94144225,53,233
CHEMBL7498,0,0.94144225,54,1086
CHEMBL4436149,0,0.94118744,55,4250
CHEMBL38078,0,0.94016963,56,47
CHEMBL21401,0,0.94016963,57,6184
CHEMBL32302,0,0.94016963,58,24
CHEMBL42325,0,0.94016963,59,359
CHEMBL23776,0,0.94016963,60,2987
CHEMBL17634,0,0.94016963,61,46
CHEMBL14185,0,0.94016963,62,73
CHEMBL3310263,0,0.94016963,63,74
CHEMBL4435514,0,0.94016963,64,1147
CHEMBL14547,0,0.9385937,65,7784
CHEMBL4553177,0,0.9384795,66,1264
CHEMBL19133,0,0.9384795,67,424
CHEMBL14287,0,0.9382125,68,3009
CHEMBL7585,0,0.9382125,69,3012
CHEMBL28066,0,0.9382125,70,469
CHEMBL3310763,0,0.9382125,71,306
CHEMBL41605,0,0.9382125,72,415
CHEMBL41255,0,0.9382125,73,587
CHEMBL14366,0,0.93820006,74,590
CHEMBL39092,0,0.93820006,75,1225
CHEMBL23718,0,0.93774855,76,18402
CHEMBL1094608,0,0.9376842,77,731
CHEMBL4435939,0,0.9376842,78,730
CHEMBL24269,0,0.9376491,79,4104
CHEMBL3309272,0,0.9376491,80,4388
CHEMBL35355,0,0.9376491,81,1224
CHEMBL21614,0,0.9376491,82,1762
CHEMBL37826,0,0.9376491,83,4105
CHEMBL38740,0,0.9376491,84,1546
CHEMBL11670,0,0.9376491,85,8672
CHEMBL3309811,0,0.9376491,86,1228
CHEMBL4436492,0,0.9376491,87,1548
CHEMBL28346,0,0.9376491,88,1126
CHEMBL24809,0,0.9376491,89,4109
CHEMBL34601,0,0.9372625,90,4921
CHEMBL17803,0,0.9372625,91,677
CHEMBL23822,0,0.93722093,92,4191
CHEMBL34287,0,0.93660927,93,559
CHEMBL34731,0,0.93659735,94,7308
CHEMBL22030,0,0.93659735,95,2360
CHEMBL13215,0,0.93659735,96,5717
CHEMBL7338,0,0.93659735,97,2307
CHEMBL4436211,0,0.93659735,98,2299
CHEMBL15001,0,0.93659735,99,2110
CHEMBL4435459,0,0.93553424,100,3145
CHEMBL8644,0,0.93553424,101,187
CHEMBL35409,0,0.9352555,102,870
CHEMBL18140,0,0.9352555,103,4505
CHEMBL1214259,0,0.9347899,104,8878
CHEMBL24783,0,0.9347696,105,12374
CHEMBL4434812,0,0.9343868,106,162
CHEMBL13751,0,0.9343868,107,1718
CHEMBL35093,0,0.9342168,108,1625
CHEMBL14538,0,0.9340757,109,3929
CHEMBL38677,0,0.93326163,110,3284
CHEMBL4543468,0,0.9331379,111,3985
CHEMBL3309373,0,0.932545,112,733
CHEMBL10118,0,0.932128,113,1946
CHEMBL26889,0,0.9320023,114,3928
CHEMBL22248,0,0.9312151,115,331
CHEMBL41745,0,0.9312151,116,270
CHEMBL571967,0,0.9310931,117,75
CHEMBL4435674,0,0.9309526,118,2135
CHEMBL4435874,0,0.9309526,119,2218
CHEMBL34435,0,0.9309526,120,2279
CHEMBL36558,0,0.9309526,121,2365
CHEMBL24600,0,0.9309526,122,2271
CHEMBL6687,0,0.9309526,123,1387
CHEMBL14161,0,0.9309526,124,3623
CHEMBL27212,0,0.9303418,125,2204
CHEMBL33172,0,0.9303418,126,2631
CHEMBL35359,0,0.9303418,127,2407
CHEMBL29606,0,0.9303418,128,2171
CHEMBL16869,0,0.9303418,129,2338
CHEMBL7481,0,0.9303418,130,2107
CHEMBL19028,0,0.9303418,131,1391
CHEMBL4553616,0,0.9303418,132,2408
CHEMBL33795,0,0.93017673,133,8371
CHEMBL25133,1,0.93017673,134,340
CHEMBL4560002,0,0.9298679,135,1632
CHEMBL9612,0,0.9298679,136,20
CHEMBL8779,0,0.9298679,137,330
CHEMBL23963,0,0.9298679,138,130
CHEMBL7496,0,0.9296889,139,294
CHEMBL16428,0,0.9295596,140,7074
CHEMBL25334,0,0.9295596,141,724
CHEMBL28203,0,0.9291267,142,1559
CHEMBL31134,0,0.9291267,143,505
CHEMBL34691,0,0.9291267,144,2504
CHEMBL3310965,0,0.92838186,145,540
CHEMBL20953,0,0.9280033,146,1410
CHEMBL30461,0,0.9274818,147,7171
CHEMBL42679,0,0.92687696,148,1925
CHEMBL20825,0,0.92687696,149,4114
CHEMBL35379,0,0.92687696,150,363
CHEMBL421,0,0.92687696,151,8273
CHEMBL12173,0,0.92687696,152,459
CHEMBL3310238,0,0.9255181,153,2576
CHEMBL19382,0,0.9255181,154,696
CHEMBL36360,0,0.92545515,155,14985
CHEMBL4434768,0,0.92536443,156,65
CHEMBL29751,0,0.9253129,157,409
CHEMBL20721,0,0.9248096,158,4315
CHEMBL6841,0,0.92381054,159,2257
CHEMBL40061,0,0.92381054,160,1379
CHEMBL3309727,0,0.92381054,161,2179
CHEMBL39603,0,0.92381054,162,1380
CHEMBL16493,0,0.92381054,163,2205
CHEMBL23537,0,0.92381054,164,2231
CHEMBL26899,0,0.92381054,165,9066
CHEMBL17914,0,0.92381054,166,6039
CHEMBL4434865,0,0.92381054,167,2341
CHEMBL24542,0,0.92381054,168,6020
CHEMBL36490,0,0.92381054,169,2362
CHEMBL36379,0,0.92381054,170,2310
CHEMBL4436452,0,0.92381054,171,1378
CHEMBL33960,0,0.92381054,172,5253
CHEMBL42356,0,0.92381054,173,1357
CHEMBL12844,0,0.92381054,174,7120
CHEMBL32740,0,0.92338526,175,1308
CHEMBL15286,0,0.92293733,176,6012
CHEMBL17774,0,0.92293733,177,2146
CHEMBL38634,0,0.92266995,178,3293
CHEMBL4436565,0,0.9222836,179,12293
CHEMBL14237,0,0.92208767,180,16719
CHEMBL429,1,0.9220789,181,120
CHEMBL17020,0,0.9220789,182,9216
CHEMBL27032,0,0.9220665,183,6951
CHEMBL4436160,0,0.9220665,184,3788
CHEMBL37233,0,0.9220665,185,8002
CHEMBL26393,1,0.9220665,186,878
CHEMBL36920,0,0.9220665,187,3701
CHEMBL28046,0,0.9220665,188,541
CHEMBL4436169,0,0.9220665,189,8046
CHEMBL10317,0,0.92162716,190,1981
CHEMBL3310377,0,0.9213838,191,3397
CHEMBL25724,0,0.9213838,192,3752
CHEMBL8647,0,0.9209049,193,7743
CHEMBL42066,0,0.9209049,194,918
CHEMBL4435391,0,0.9206419,195,30
CHEMBL36586,0,0.91971314,196,4992
CHEMBL20203,0,0.91954416,197,474
CHEMBL10815,0,0.91953015,198,8518
CHEMBL22417,0,0.9191387,199,35
CHEMBL4434887,0,0.9190147,200,406
CHEMBL43512,0,0.9186294,201,7789
CHEMBL16850,0,0.91798306,202,9530
CHEMBL4436540,0,0.91728973,203,14278
CHEMBL23215,0,0.91679394,204,21341
CHEMBL14589,0,0.9167393,205,3863
CHEMBL11309,0,0.91566056,206,2776
CHEMBL6845,0,0.91566056,207,7721
CHEMBL43597,0,0.91566056,208,2956
CHEMBL43649,0,0.91566056,209,1682
CHEMBL37077,0,0.91566056,210,806
CHEMBL21383,0,0.9156343,211,40
CHEMBL31615,0,0.9156343,212,36
CHEMBL1165741,0,0.9156343,213,42
CHEMBL10100,0,0.9156343,214,750
CHEMBL1200285,0,0.9152845,215,135
CHEMBL4543407,0,0.915247,216,5268
CHEMBL4435018,0,0.915247,217,1536
CHEMBL4436053,0,0.91416603,218,12331
CHEMBL40359,0,0.91416603,219,12330
CHEMBL38317,0,0.91409016,220,3711
CHEMBL3310858,0,0.91409016,221,3724
CHEMBL9359,0,0.91409016,222,2570
CHEMBL3310857,0,0.91409016,223,902
CHEMBL7506,0,0.91409016,224,885
CHEMBL4435535,0,0.91409016,225,3536
CHEMBL35248,0,0.91409016,226,3787
CHEMBL4435240,0,0.91409016,227,899
CHEMBL3310855,0,0.91409016,228,5325
CHEMBL14262,0,0.91409016,229,3663
CHEMBL4543359,0,0.91409016,230,6933
CHEMBL36193,0,0.91409016,231,11063
CHEMBL1096673,0,0.91409016,232,880
CHEMBL11865,0,0.91409016,233,3795
CHEMBL32170,0,0.91409016,234,3676
CHEMBL13380,0,0.91409016,235,539
CHEMBL39644,0,0.91409016,236,3718
CHEMBL4559989,0,0.91409016,237,3675
CHEMBL40011,0,0.91409016,238,2724
CHEMBL21864,0,0.91409016,239,6947
CHEMBL15182,0,0.91409016,240,386
CHEMBL21953,0,0.91409016,241,6525
CHEMBL35303,0,0.91409016,242,3677
CHEMBL41434,0,0.91400546,243,11396
CHEMBL1085658,0,0.91381514,244,9730
CHEMBL34750,0,0.91381514,245,3873
CHEMBL29374,0,0.913728,246,821
CHEMBL19111,0,0.9136623,247,5696
CHEMBL4543357,0,0.9136623,248,8210
CHEMBL4435511,0,0.9136623,249,1930
CHEMBL39240,0,0.91324764,250,570
CHEMBL12662,0,0.91322976,251,4981
CHEMBL23116,0,0.9131396,252,15431
CHEMBL15597,0,0.91311604,253,3751
CHEMBL9959,0,0.91311604,254,8532
CHEMBL32904,0,0.91311604,255,5682
CHEMBL23021,0,0.91311604,256,6952
CHEMBL3310262,0,0.91283685,257,2745
CHEMBL35586,0,0.91283685,258,6122
CHEMBL35813,0,0.91283685,259,6542
CHEMBL1163388,0,0.91283685,260,1633
CHEMBL36001,0,0.91283685,261,12
CHEMBL25411,0,0.91283685,262,476
CHEMBL27774,0,0.91283685,263,1231
CHEMBL23297,0,0.91246915,264,1826
CHEMBL592978,0,0.9122499,265,4980
CHEMBL15414,0,0.9115651,266,5950
CHEMBL38650,0,0.911415,267,160
CHEMBL3310742,0,0.91098267,268,70
CHEMBL33173,0,0.910185,269,3001
CHEMBL43763,0,0.91012704,270,18401
