action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,52694,[],CHEMBL652493,Binding affinity against adrenergic receptor subtype Beta-2 adrenergic receptor using [3H]DHA as radioligand,B,,,BAO_0000192,BAO_0000357,single protein format,COc1cccc2c1CC[C@H]1CN(CCn3c(=O)[nH]c4c(sc5cccnc54)c3=O)C[C@@H]21,,,CHEMBL1130166,J Med Chem,1997.0,"{'bei': '12.07', 'le': '0.23', 'lle': '2.44', 'sei': '6.75'}",,CHEMBL40650,,CHEMBL40650,5.41,0,http://www.openphacts.org/units/Nanomolar,199469,=,1,1,=,,Ki,nM,,3870.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,Ki,nM,UO_0000065,,3870.0
,,75570,[],CHEMBL818910,Agonistic activity was assessed by measurement of cAMP accumulation levels in CHO cells expressing human beta-2-adrenergic receptor,F,,,BAO_0000188,BAO_0000219,cell-based format,CS(=O)(=O)Nc1cc([C@@H](O)CNC2CCN(c3ccc(CC4SC(=O)NC4=O)cc3)CC2)ccc1O,,,CHEMBL1134230,Bioorg Med Chem Lett,2001.0,,,CHEMBL163262,,CHEMBL163262,5.92,0,http://www.openphacts.org/units/Nanomolar,323171,=,1,1,=,,EC50,nM,,1190.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,EC50,uM,UO_0000065,,1.19
,,77803,[],CHEMBL818910,Agonistic activity was assessed by measurement of cAMP accumulation levels in CHO cells expressing human beta-2-adrenergic receptor,F,,,BAO_0000188,BAO_0000219,cell-based format,O=C1NC(=O)C(Cc2ccc(N3CCC(NC[C@H](O)c4ccc(O)c(NS(=O)(=O)c5ccccc5)c4)CC3)cc2)S1,,,CHEMBL1134230,Bioorg Med Chem Lett,2001.0,,,CHEMBL424167,,CHEMBL424167,6.21,0,http://www.openphacts.org/units/Nanomolar,323168,=,1,1,=,,EC50,nM,,620.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,EC50,uM,UO_0000065,,0.62
,,146081,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '13.75', 'le': '0.26', 'lle': '0.26', 'sei': '10.19'}",,CHEMBL433252,,CHEMBL433252,6.35,0,http://www.openphacts.org/units/Nanomolar,93353,=,1,1,=,,IC50,nM,,450.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,450.0
,,146085,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)c1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '11.13', 'le': '0.21', 'lle': '-1.57', 'sei': '10.37'}",,CHEMBL54750,,CHEMBL54750,5.12,0,http://www.openphacts.org/units/Nanomolar,93350,=,1,1,=,,IC50,nM,,7500.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,7500.0
,,147302,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '12.48', 'le': '0.24', 'lle': '0.71', 'sei': '7.44'}",,CHEMBL56594,,CHEMBL56594,5.19,0,http://www.openphacts.org/units/Nanomolar,93337,=,1,1,=,,IC50,nM,,6500.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,6500.0
,,147306,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCc1nc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)no1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '15.40', 'le': '0.30', 'lle': '1.53', 'sei': '7.92'}",,CHEMBL52407,,CHEMBL52407,7.0,0,http://www.openphacts.org/units/Nanomolar,93363,=,1,1,=,,IC50,nM,,100.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,100.0
,,147310,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCc1ccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)nc1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '15.20', 'le': '0.29', 'lle': '0.92', 'sei': '10.63'}",,CHEMBL56449,,CHEMBL56449,6.62,0,http://www.openphacts.org/units/Nanomolar,93349,=,1,1,=,,IC50,nM,,240.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,240.0
,,148529,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '14.74', 'le': '0.29', 'lle': '1.35', 'sei': '8.57'}",,CHEMBL56752,,CHEMBL56752,5.7,0,http://www.openphacts.org/units/Nanomolar,93334,=,1,1,=,,IC50,nM,,2000.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,2000.0
,,148533,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCc1cnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)o1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '14.87', 'le': '0.29', 'lle': '0.67', 'sei': '8.94'}",,CHEMBL54749,,CHEMBL54749,6.75,0,http://www.openphacts.org/units/Nanomolar,93348,=,1,1,=,,IC50,nM,,180.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,180.0
,,149623,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '14.92', 'le': '0.29', 'lle': '2.62', 'sei': '7.39'}",,CHEMBL301202,,CHEMBL301202,5.16,0,http://www.openphacts.org/units/Nanomolar,93338,=,1,1,=,,IC50,nM,,7000.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,7000.0
,,149627,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '13.53', 'le': '0.26', 'lle': '0.74', 'sei': '8.61'}",,CHEMBL292407,,CHEMBL292407,6.0,0,http://www.openphacts.org/units/Nanomolar,93341,=,1,1,=,,IC50,nM,,1000.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,1000.0
,,155657,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCc1csc(Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '14.58', 'le': '0.29', 'lle': '-0.12', 'sei': '9.10'}",,CHEMBL53679,,CHEMBL53679,6.47,0,http://www.openphacts.org/units/Nanomolar,93345,=,1,1,=,,IC50,nM,,340.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,340.0
,,156961,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '15.73', 'le': '0.30', 'lle': '1.15', 'sei': '11.00'}",,CHEMBL299719,,CHEMBL299719,6.85,0,http://www.openphacts.org/units/Nanomolar,93355,=,1,1,=,,IC50,nM,,140.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,140.0
,,159392,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCc1ccnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '14.22', 'le': '0.27', 'lle': '1.12', 'sei': '8.26'}",,CHEMBL55852,,CHEMBL55852,6.21,0,http://www.openphacts.org/units/Nanomolar,93357,=,1,1,=,,IC50,nM,,620.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,620.0
,,159396,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)c1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '14.58', 'le': '0.28', 'lle': '0.04', 'sei': '12.83'}",,CHEMBL56308,,CHEMBL56308,6.34,0,http://www.openphacts.org/units/Nanomolar,93352,=,1,1,=,,IC50,nM,,460.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,460.0
,,159400,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '10.23', 'le': '0.20', 'lle': '1.07', 'sei': '4.17'}",,CHEMBL57486,,CHEMBL57486,5.52,1,http://www.openphacts.org/units/Nanomolar,93347,=,1,1,=,,IC50,nM,,3000.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,3000.0
,,161828,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1nc(CCCC2CCCC2)cs1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '12.93', 'le': '0.26', 'lle': '-0.10', 'sei': '9.70'}",,CHEMBL55541,,CHEMBL55541,6.05,0,http://www.openphacts.org/units/Nanomolar,93358,=,1,1,=,,IC50,nM,,900.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,900.0
,,161831,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCNC(=O)N(C)c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '9.03', 'le': '0.18', 'lle': '0.53', 'sei': '4.04'}",,CHEMBL293818,,CHEMBL293818,5.0,0,http://www.openphacts.org/units/Nanomolar,93346,=,1,1,=,,IC50,nM,,10000.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,10000.0
,,165466,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CNC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '15.50', 'le': '0.31', 'lle': '2.95', 'sei': '6.54'}",,CHEMBL54885,,CHEMBL54885,5.14,0,http://www.openphacts.org/units/Nanomolar,93340,=,1,1,=,,IC50,nM,,7300.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,7300.0
,,168159,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '12.53', 'le': '0.25', 'lle': '-0.65', 'sei': '9.45'}",,CHEMBL54821,,CHEMBL54821,5.89,0,http://www.openphacts.org/units/Nanomolar,93359,=,1,1,=,,IC50,nM,,1300.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,1300.0
,,168163,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCc1ccnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '13.51', 'le': '0.26', 'lle': '0.41', 'sei': '8.35'}",,CHEMBL53359,,CHEMBL53359,6.28,0,http://www.openphacts.org/units/Nanomolar,93356,=,1,1,=,,IC50,nM,,530.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,530.0
,,169316,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '15.53', 'le': '0.30', 'lle': '0.72', 'sei': '11.56'}",,CHEMBL291467,,CHEMBL291467,7.2,0,http://www.openphacts.org/units/Nanomolar,93354,=,1,1,=,,IC50,nM,,63.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,63.0
,,171707,[],CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1noc(CCCC2CCCC2)n1,,,CHEMBL1131776,Bioorg Med Chem Lett,1999.0,"{'bei': '16.30', 'le': '0.31', 'lle': '2.30', 'sei': '8.35'}",,CHEMBL295502,,CHEMBL295502,7.38,0,http://www.openphacts.org/units/Nanomolar,93362,=,1,1,=,,IC50,nM,,42.0,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,9606,,,IC50,nM,UO_0000065,,42.0
