ligand_id,is_known_active,enopt_decoy_score,enopt_decoy_rank,molecule_chembl_id,best_pchembl,n_measurements,n_strong,types,documented_strong
CHEMBL22221,0,0.7749416,972,,,0,0,,False
CHEMBL443886,0,0.07975113,23404,,,0,0,,False
CHEMBL4436561,0,0.40166625,9183,,,0,0,,False
CHEMBL16781,0,0.21453696,14975,,,0,0,,False
CHEMBL25816,0,0.24317296,13730,,,0,0,,False
CHEMBL6893,0,0.39730105,9287,,,0,0,,False
CHEMBL34687,0,0.58306766,4556,,,0,0,,False
CHEMBL24881,0,0.43925706,8128,,,0,0,,False
CHEMBL7529,0,0.14754882,18691,,,0,0,,False
CHEMBL39846,0,0.18211275,16565,,,0,0,,False
CHEMBL3310047,0,0.06850059,24161,,,0,0,,False
CHEMBL34453,0,0.013173661,29592,,,0,0,,False
CHEMBL8141,0,0.016306171,28316,,,0,0,,False
CHEMBL24400,0,0.26160103,13076,,,0,0,,False
CHEMBL10259,0,0.08466891,22812,,,0,0,,False
CHEMBL6486,0,0.4544218,7870,,,0,0,,False
CHEMBL36969,0,0.5919037,4375,,,0,0,,False
CHEMBL7576,0,0.11710788,20619,,,0,0,,False
CHEMBL602115,0,0.30466402,11743,,,0,0,,False
CHEMBL12459,0,0.5059741,6683,,,0,0,,False
CHEMBL23668,0,0.15637195,17935,,,0,0,,False
CHEMBL18936,0,0.03939796,26542,,,0,0,,False
CHEMBL10303,0,0.22741032,14340,,,0,0,,False
CHEMBL19325,0,0.58409464,4538,,,0,0,,False
CHEMBL36622,0,0.31840804,11335,,,0,0,,False
CHEMBL27429,0,0.07978066,23403,,,0,0,,False
CHEMBL31943,0,0.1699977,17066,,,0,0,,False
CHEMBL21657,0,0.45355737,7908,,,0,0,,False
CHEMBL35229,0,0.30883375,11577,,,0,0,,False
CHEMBL36310,0,0.06526883,24533,,,0,0,,False
CHEMBL4435931,0,0.34190798,10671,,,0,0,,False
CHEMBL30414,0,0.69617116,2254,,,0,0,,False
CHEMBL18138,0,0.6549077,2981,,,0,0,,False
CHEMBL19777,0,0.3199042,11300,,,0,0,,False
CHEMBL33451,0,0.72571105,1667,,,0,0,,False
CHEMBL4553671,0,0.13488393,19308,,,0,0,,False
CHEMBL7796,0,0.1699977,17067,,,0,0,,False
CHEMBL4435987,0,0.1841418,16465,,,0,0,,False
CHEMBL3311063,0,0.34190798,10759,,,0,0,,False
CHEMBL21504,0,0.53408164,5948,,,0,0,,False
CHEMBL19948,0,0.15277958,18131,,,0,0,,False
CHEMBL17165,0,0.06689841,24366,,,0,0,,False
CHEMBL4435905,0,0.61897844,3729,,,0,0,,False
CHEMBL29920,0,0.1841418,16483,,,0,0,,False
CHEMBL12707,0,0.52558005,6243,,,0,0,,False
CHEMBL20711,0,0.72566456,1674,,,0,0,,False
CHEMBL3309919,0,0.15277958,18146,,,0,0,,False
