ligand_id,enopt_decoy_score,enopt_decoy_rank,doc_strong,doc_weak
CHEMBL20751,0.9449212,1,0,0
CHEMBL26494,0.9445685,2,0,0
CHEMBL34293,0.9377042,3,0,0
CHEMBL7213,0.92841744,4,0,0
CHEMBL29371,0.9277608,5,0,0
CHEMBL4543521,0.9277608,6,0,0
CHEMBL22791,0.926605,7,0,0
CHEMBL35020,0.92465836,8,0,0
CHEMBL4435713,0.9231737,9,0,0
CHEMBL41686,0.92154455,10,0,0
CHEMBL25651,0.9210296,11,0,0
CHEMBL36001,0.9198122,12,0,0
CHEMBL28358,0.9198122,13,0,0
CHEMBL22186,0.9173353,15,0,0
CHEMBL4559961,0.91174,16,0,0
CHEMBL27528,0.91174,17,0,0
CHEMBL22860,0.9100543,18,0,0
CHEMBL3311536,0.9097351,19,0,0
CHEMBL9612,0.90912485,20,0,0
CHEMBL33131,0.90500647,21,0,0
CHEMBL23045,0.9049237,22,0,0
CHEMBL32302,0.9015754,24,0,0
CHEMBL4435752,0.9015754,25,0,0
CHEMBL33226,0.9015754,26,0,0
CHEMBL4435505,0.9014721,27,0,0
CHEMBL31986,0.9012873,28,0,0
CHEMBL41876,0.90063256,29,0,0
CHEMBL4435391,0.8987865,30,0,0
CHEMBL30652,0.897501,31,0,0
CHEMBL1185377,0.89604986,32,0,0
CHEMBL4434926,0.89604986,33,0,0
CHEMBL36195,0.8933614,34,0,0
CHEMBL22417,0.8933614,35,0,0
CHEMBL31615,0.8933614,36,0,0
CHEMBL25120,0.8933614,37,0,0
CHEMBL27965,0.8933614,38,0,0
CHEMBL25835,0.8933614,39,0,0
CHEMBL21383,0.8933614,40,0,0
CHEMBL3309546,0.8933614,41,0,0
CHEMBL1165741,0.8933614,42,0,0
CHEMBL16387,0.8933614,43,0,0
CHEMBL7641,0.8933614,44,0,0
CHEMBL18024,0.8932793,45,0,0
CHEMBL17634,0.8932573,46,0,0
CHEMBL38078,0.8932573,47,0,0
CHEMBL21818,0.89238566,48,0,0
CHEMBL25075,0.8914477,49,0,0
CHEMBL8997,0.8914477,50,0,0
CHEMBL29787,0.8892599,51,0,0
CHEMBL27948,0.8884766,52,0,0
CHEMBL22773,0.8884766,53,0,0
CHEMBL38262,0.88743246,54,0,0
CHEMBL28873,0.88743246,55,0,0
CHEMBL12585,0.88743246,56,0,0
CHEMBL16873,0.88743246,57,0,0
CHEMBL21516,0.8873233,58,0,0
CHEMBL21968,0.887085,59,0,0
CHEMBL27158,0.8846783,60,0,0
CHEMBL4435069,0.8822021,61,0,0
CHEMBL23404,0.8808537,62,0,0
CHEMBL32692,0.8808537,63,0,0
CHEMBL27049,0.8808537,64,0,0
CHEMBL4434768,0.8808537,65,0,0
CHEMBL35625,0.878108,66,0,0
CHEMBL22500,0.87562,67,0,0
CHEMBL7420,0.87352926,68,0,0
CHEMBL16110,0.87352926,69,0,0
CHEMBL3310742,0.87333953,70,0,0
CHEMBL19576,0.8730812,71,0,0
CHEMBL4435447,0.8730812,72,0,0
CHEMBL14185,0.87272894,73,0,0
CHEMBL3310263,0.87272894,74,0,0
CHEMBL571967,0.87271017,75,0,0
CHEMBL1098866,0.87218255,76,0,0
CHEMBL17607,0.87122184,77,0,0
CHEMBL22390,0.8707908,78,0,0
CHEMBL7431,0.87064093,79,0,0
CHEMBL20393,0.8700701,80,0,0
CHEMBL14494,0.86962223,81,0,0
CHEMBL42467,0.86962223,82,0,0
CHEMBL42432,0.8692458,83,0,0
CHEMBL27476,0.8690657,84,0,0
CHEMBL39490,0.86851656,85,0,0
CHEMBL10577,0.86669433,86,0,0
CHEMBL24309,0.86657435,87,0,0
CHEMBL34971,0.86657435,88,0,0
CHEMBL35184,0.86657435,89,0,0
CHEMBL25390,0.86657435,90,0,0
CHEMBL37467,0.86657435,91,0,0
CHEMBL20316,0.86657435,92,0,0
CHEMBL34990,0.86657435,93,0,0
CHEMBL23826,0.86657435,94,0,0
CHEMBL14197,0.86657435,95,0,0
CHEMBL31805,0.86657435,97,0,0
CHEMBL25095,0.86657435,98,0,0
CHEMBL37627,0.86657435,99,0,0
CHEMBL8649,0.86657435,100,0,0
CHEMBL10107,0.865906,101,0,0
CHEMBL17759,0.865906,102,0,0
CHEMBL10639,0.865906,103,0,0
CHEMBL18699,0.8657791,104,0,0
CHEMBL40714,0.86512977,105,0,0
CHEMBL4434658,0.86512977,106,0,0
CHEMBL18658,0.8624749,107,0,0
CHEMBL9111,0.8624749,108,0,0
CHEMBL29429,0.8624749,109,0,0
CHEMBL42459,0.8624749,110,0,0
CHEMBL20872,0.8624749,111,0,0
CHEMBL6325,0.86234534,112,0,0
CHEMBL33476,0.8621887,113,0,0
CHEMBL30670,0.8612735,114,0,0
CHEMBL3311041,0.8612735,115,0,0
CHEMBL31607,0.8612735,116,0,0
CHEMBL40315,0.86099446,117,0,0
CHEMBL28689,0.86099446,118,0,0
CHEMBL3347310,0.8590907,119,0,0
CHEMBL18425,0.85869193,121,0,0
CHEMBL9778,0.8585594,122,0,0
CHEMBL3309608,0.858357,123,0,0
CHEMBL22385,0.85818934,124,0,0
CHEMBL18847,0.85815126,125,0,0
CHEMBL14889,0.8576281,126,0,0
CHEMBL31545,0.8576281,127,0,0
CHEMBL19419,0.8576281,128,0,0
CHEMBL4435037,0.8576281,129,0,0
CHEMBL23963,0.8576281,130,0,0
CHEMBL30928,0.8576281,131,0,0
CHEMBL34627,0.8576281,132,0,0
CHEMBL17701,0.8576281,133,0,0
CHEMBL16355,0.8576281,134,0,0
CHEMBL1200285,0.8568952,135,0,0
CHEMBL14501,0.8568538,136,0,0
CHEMBL10278,0.8568538,137,0,0
CHEMBL22366,0.8568538,138,0,0
CHEMBL22397,0.8568277,139,0,0
CHEMBL4436092,0.85510725,140,0,0
CHEMBL17272,0.85510725,141,0,0
CHEMBL21585,0.85510725,142,0,0
CHEMBL4435260,0.85510725,143,0,0
CHEMBL19485,0.85510725,144,0,0
CHEMBL1163536,0.8549718,145,0,0
CHEMBL18759,0.8549718,146,0,0
CHEMBL33870,0.8547722,147,0,0
CHEMBL26698,0.85464543,148,0,0
CHEMBL536204,0.85464543,149,0,0
CHEMBL40250,0.85464543,150,0,0
CHEMBL40453,0.85464543,151,0,0
CHEMBL18388,0.85458994,152,0,0
CHEMBL12287,0.85458994,153,0,0
CHEMBL15935,0.8540627,154,0,0
CHEMBL28141,0.8540627,155,0,0
CHEMBL19342,0.85364896,156,0,0
CHEMBL32940,0.85286963,157,0,0
CHEMBL27324,0.85286963,158,0,0
CHEMBL11243,0.85263485,159,0,0
CHEMBL38650,0.8525525,160,0,0
CHEMBL8227,0.8525525,161,0,0
CHEMBL4434812,0.852193,162,0,0
CHEMBL23211,0.8520919,163,0,0
CHEMBL26006,0.85173297,164,0,0
CHEMBL28299,0.8516944,165,0,0
CHEMBL6534,0.8516944,166,0,0
CHEMBL43769,0.8510551,167,0,0
