ligand_id,is_known_active,enopt_decoy_score,molecule_chembl_id,best_pchembl,n_measurements,n_strong,types,documented_strong,smiles,mol_weight,heavy_atoms,logp
CHEMBL20751,0,0.9449212,,,0,0,,False,COc1ccccc1Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,363.501,27,5.176
CHEMBL26494,0,0.9445685,,,0,0,,False,Cc1cccc(-c2ncc(N)c(=O)n2CC(=O)NC(Cc2ccccc2)C(=O)C(F)(F)C(N)=O)c1,483.475,35,1.218
CHEMBL34293,0,0.9377042,,,0,0,,False,COc1ccc(C#Cc2ccc(C(=O)O)cc2)cc1Cc1cnc(N)nc1N,374.4,28,2.338
CHEMBL7213,0,0.92841744,,,0,0,,False,Cc1cc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(C)(=O)=O)C(c2ccccc2)c2ccccc2)ccc1CN,548.709,39,2.811
CHEMBL29371,0,0.9277608,,,0,0,,False,CN1CCc2c1nc1ccccc1c2NC(=O)CNCCc1ccc(O)cc1,376.46,28,2.704
CHEMBL4543521,0,0.9277608,,,0,0,,False,C[C@@H](Nc1nc2c(cnn2C2CCCC2)c(=O)[nH]1)C(=O)N1CCCC1,344.419,25,1.657
CHEMBL22791,0,0.926605,,,0,0,,False,CCCc1cc(C(=O)O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,415.453,31,3.394
CHEMBL35020,0,0.92465836,,,0,0,,False,COc1ccc(C#Cc2cccc(C(=O)O)c2)cc1Cc1cnc(N)nc1N,374.4,28,2.338
CHEMBL4435713,0,0.9231737,,,0,0,,False,O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1NS(=O)(=O)c1cccc(O)c1,411.435,29,3.5
CHEMBL41686,0,0.92154455,,,0,0,,False,N=C(N)NCCCC(NC(=O)C(c1ccccc1)c1ccc(Cl)cc1)C(=O)N[C@H]1CCc2ccccc21,518.061,37,4.024
CHEMBL25651,0,0.9210296,,,0,0,,False,CCCc1cc(O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,387.443,29,3.402
CHEMBL36001,0,0.9198122,,,0,0,,False,CC(C)(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccccc1,353.426,26,2.144
CHEMBL28358,0,0.9198122,,,0,0,,False,Cc1ccccc1COc1ccc(S(=O)(=O)N2CC[C@H](O)C[C@@H]2C(=O)NO)cc1,420.487,29,1.593
CHEMBL22186,0,0.9173353,,,0,0,,False,CCCc1cc(C(N)=O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,414.469,31,2.795
CHEMBL4559961,0,0.91174,,,0,0,,False,CNCCN1CCC(c2cc(CN(C)C(=O)c3cccc(Oc4ccccc4)c3)ccn2)CC1,458.606,34,4.545
CHEMBL27528,0,0.91174,,,0,0,,False,Cc1ccccc1NC(=O)Nc1ccc2cnccc2c1,277.327,21,4.187
CHEMBL22860,0,0.9100543,,,0,0,,False,CCCc1cc(CO)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,401.47,30,3.189
CHEMBL3311536,0,0.9097351,,,0,0,,False,O=C1C=CC(=O)C(CNCC(=O)Nc2cccc(OCc3ccccc3)c2)=C1,376.412,28,2.428
CHEMBL9612,0,0.90912485,,,0,0,,False,CN(CCc1ccc2c(c1)OCO2)C[C@@H]1CC[C@@H]2CCOc3cccc1c32,365.473,27,4.333
CHEMBL33131,0,0.90500647,,,0,0,,False,O=C(N[C@@H](Cc1ccc([N+](=O)[O-])cc1)c1nnco1)c1cccc2ccccc12,388.383,29,3.845
CHEMBL23045,0,0.9049237,,,0,0,,False,CCCCc1cc(O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,401.47,30,3.792
CHEMBL32302,0,0.9015754,,,0,0,,False,O=C(O)c1cccc2c(=O)cc(-c3cccc(OCc4ccccc4)c3)oc12,372.376,28,4.737
CHEMBL4435752,0,0.9015754,,,0,0,,False,Cc1cc(-c2ccc(C#N)cc2F)ccc1Oc1ccnc(Nc2ccc(C#N)cc2)n1,421.435,32,5.87
CHEMBL33226,0,0.9015754,,,0,0,,False,CCc1cc(NCc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(C(=O)OC)c(CC)n1,442.523,33,4.452
CHEMBL4435505,0,0.9014721,,,0,0,,False,CN1CCC(Cn2nc(-c3ccc4cc(OC5COC5)ccc4c3)c3c(N)ncnc32)CC1,444.539,33,3.348
CHEMBL31986,0,0.9012873,,,0,0,,False,Cc1nc(-c2ccncc2)sc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1,434.521,31,4.275
CHEMBL41876,0,0.90063256,,,0,0,,False,Cc1cc(OCC2CCN(C(=N)N)CC2)cc(OS(=O)(=O)c2ccccc2Cl)c1,437.949,29,3.4
CHEMBL4435391,0,0.8987865,,,0,0,,False,c1ccc(Cn2c(NCc3cc4ccccc4o3)nc3ccccc32)cc1,353.425,27,5.443
CHEMBL30652,0,0.897501,,,0,0,,False,CC1(COc2ccc(S(=O)(=O)C3SC(=O)NC3=O)cc2)CCCCC1,383.491,25,3.119
CHEMBL1185377,0,0.89604986,,,0,0,,False,O=[N+]([O-])c1cc2c(cc1CCCCc1sc(Nc3ccccc3)n[n+]1-c1ccccc1)OCO2,475.55,34,5.366
CHEMBL4434926,0,0.89604986,,,0,0,,False,Cc1ccc(COC(=O)Nc2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1,376.416,28,3.42
CHEMBL36195,0,0.8933614,,,0,0,,False,COc1ccc(C[C@H](NC(=O)c2cccc3ccccc23)C(=O)N[C@@H](C)C(=O)Nc2ccccc2OC)cc1,525.605,39,4.342
CHEMBL22417,0,0.8933614,,,0,0,,False,O=C(N[C@@H]1C(=O)N(Cc2ccccc2)C[C@@H]1C(=O)O)c1ccc2ccccc2c1,388.423,29,2.681
CHEMBL31615,0,0.8933614,,,0,0,,False,c1ccc(Cn2cnc3cc(Nc4ncnc5ccccc45)ccc32)cc1,351.413,27,4.771
CHEMBL25120,0,0.8933614,,,0,0,,False,O=C(Cc1ccccc1OCC(F)(F)F)N1CCC(N2C(=O)OCc3ccccc32)CC1,448.441,32,4.318
CHEMBL27965,0,0.8933614,,,0,0,,False,O=C(NO)[C@H]1CC[C@@H](O)CN1S(=O)(=O)c1ccc(OCc2ccccc2C(F)(F)F)cc1,474.457,32,2.304
CHEMBL25835,0,0.8933614,,,0,0,,False,O=C(CNS(=O)(=O)c1ccc2ccccc2c1)N[C@H](CCNc1ccncc1)C(=O)N1CCCCC1,509.632,36,2.513
CHEMBL21383,0,0.8933614,,,0,0,,False,CCC1(c2cccc(OCc3ccc4c(ccc(=O)n4C)c3)c2)CCOCC1,377.484,28,4.576
CHEMBL3309546,0,0.8933614,,,0,0,,False,c1ccc2cc(CN3CCc4c([nH]c5ccccc45)C3)ccc2c1,312.416,24,4.879
CHEMBL1165741,0,0.8933614,,,0,0,,False,FC(F)(F)c1cc(Nc2nccc(-c3cccnc3)n2)cc(C(F)(F)F)c1,384.283,27,5.32
CHEMBL16387,0,0.8933614,,,0,0,,False,Nc1cccc(S(=O)(=O)Nc2cccc(C(c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)c1,494.613,35,4.929
CHEMBL7641,0,0.8933614,,,0,0,,False,CCCCc1nc2ccccc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,408.509,31,5.274
CHEMBL18024,0,0.8932793,,,0,0,,False,Cc1ccccc1S(=O)(=O)N[C@@H](CNC(=O)C[C@H]1CC(c2ccc(C(=N)N)cc2)=NO1)C(=O)O,487.538,34,0.71
CHEMBL17634,0,0.8932573,,,0,0,,False,CCS(=O)(=O)Nc1ccc2ccc(OCc3ccc4ccccc4n3)cc2c1,392.48,28,4.729
CHEMBL38078,0,0.8932573,,,0,0,,False,O=C(CCCN1C2CCCC1c1c([nH]c3ccccc13)C2)c1ccc(F)cc1,376.475,28,5.422
CHEMBL21818,0,0.89238566,,,0,0,,False,O=S(=O)(NC1CCCC[C@@H]1c1ccccc1)NS(=O)(=O)NC1CCCC[C@H]1c1ccccc1,491.679,33,3.698
