ligand_id,rank,is_known_active,smiles,mol_weight,heavy_atoms,logp,tpsa,max_tanimoto_active,flags,parse_fail,cluster_id,scaffold
CHEMBL20751,1,0,COc1ccccc1Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,363.501,27,5.176,21.7,0.212,,False,1,C1CCC(CC2CCC3CC4CCCC5(CCCCC45)C3C2)CC1
CHEMBL26494,2,0,Cc1cccc(-c2ncc(N)c(=O)n2CC(=O)NC(Cc2ccccc2)C(=O)C(F)(F)C(N)=O)c1,483.475,35,1.218,150.17,0.216,PAINS;Brenk,False,142,CC(CCCC1CCCCC1)CC1C(C)CCCC1C1CCCCC1
CHEMBL34293,3,0,COc1ccc(C#Cc2ccc(C(=O)O)cc2)cc1Cc1cnc(N)nc1N,374.4,28,2.338,124.35,0.215,PAINS;Brenk,False,4,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1
CHEMBL7213,4,0,Cc1cc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(C)(=O)=O)C(c2ccccc2)c2ccccc2)ccc1CN,548.709,39,2.811,121.6,0.232,,False,6,CC(CCC1CCCCC1)C1CCCC1C(C)CC(C1CCCCC1)C1CCCCC1
CHEMBL29371,5,0,CN1CCc2c1nc1ccccc1c2NC(=O)CNCCc1ccc(O)cc1,376.46,28,2.704,77.49,0.293,PAINS;Brenk,False,141,CC(CCCCC1CCCCC1)CC1C2CCCCC2CC2CCCC21
CHEMBL4543521,6,0,C[C@@H](Nc1nc2c(cnn2C2CCCC2)c(=O)[nH]1)C(=O)N1CCCC1,344.419,25,1.657,95.91,0.264,,False,140,CC(CCC1CC(C)C2CCC(C3CCCC3)C2C1)C1CCCC1
CHEMBL22791,7,0,CCCc1cc(C(=O)O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,415.453,31,3.394,113.76,0.209,,False,0,CC1CCCCC1CC1CCC(C2CCCCC2C2CCCC2)CC1
CHEMBL35020,8,0,COc1ccc(C#Cc2cccc(C(=O)O)c2)cc1Cc1cnc(N)nc1N,374.4,28,2.338,124.35,0.222,PAINS;Brenk,False,139,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1
CHEMBL4435713,9,0,O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1NS(=O)(=O)c1cccc(O)c1,411.435,29,3.5,123.93,0.22,PAINS;Brenk,False,138,CC(CCC1CCCCC1)C1CCCCC1CC(C)(C)C1CCCCC1
CHEMBL41686,10,0,N=C(N)NCCCC(NC(=O)C(c1ccccc1)c1ccc(Cl)cc1)C(=O)N[C@H]1CCc2ccccc21,518.061,37,4.024,120.1,0.244,PAINS;Brenk,False,137,CC(CCC(C)C(C1CCCCC1)C1CCCCC1)CC1CCC2CCCCC21
CHEMBL25651,11,0,CCCc1cc(O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,387.443,29,3.402,96.69,0.185,,False,0,CC1CCCCC1CC1CCC(C2CCCCC2C2CCCC2)CC1
CHEMBL36001,12,0,CC(C)(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccccc1,353.426,26,2.144,120.1,0.257,PAINS;Brenk,False,136,CC(CCC(C)CC1CCCCC1)CCC1CCCCC1
CHEMBL28358,13,0,Cc1ccccc1COc1ccc(S(=O)(=O)N2CC[C@H](O)C[C@@H]2C(=O)NO)cc1,420.487,29,1.593,116.17,0.232,PAINS;Brenk,False,135,CC(C)(C1CCCCC1)C1CCC(CCC2CCCCC2)CC1
CHEMBL434,14,1,CC(C)NCC(O)c1ccc(O)c(O)c1,211.261,15,1.129,72.72,1.0,PAINS;Brenk,False,0,C1CCCCC1
CHEMBL22186,15,0,CCCc1cc(C(N)=O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,414.469,31,2.795,119.55,0.195,,False,134,CC1CCCCC1CC1CCC(C2CCCCC2C2CCCC2)CC1
CHEMBL4559961,16,0,CNCCN1CCC(c2cc(CN(C)C(=O)c3cccc(Oc4ccccc4)c3)ccn2)CC1,458.606,34,4.545,57.7,0.247,,False,133,CC(CCC1CCCC(C2CCCCC2)C1)C1CCCC(CC2CCCCC2)C1
CHEMBL27528,17,0,Cc1ccccc1NC(=O)Nc1ccc2cnccc2c1,277.327,21,4.187,54.02,0.254,,False,132,CC(CC1CCCCC1)CC1CCC2CCCCC2C1
CHEMBL22860,18,0,CCCc1cc(CO)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,401.47,30,3.189,96.69,0.185,,False,0,CC1CCCCC1CC1CCC(C2CCCCC2C2CCCC2)CC1
