ligand_id,is_known_active,enopt_decoy_score,enopt_decoy_rank
CHEMBL20751,0,0.9449212,1
CHEMBL26494,0,0.9445685,2
CHEMBL34293,0,0.9377042,3
CHEMBL7213,0,0.92841744,4
CHEMBL29371,0,0.9277608,5
CHEMBL4543521,0,0.9277608,6
CHEMBL22791,0,0.926605,7
CHEMBL35020,0,0.92465836,8
CHEMBL4435713,0,0.9231737,9
CHEMBL41686,0,0.92154455,10
CHEMBL25651,0,0.9210296,11
CHEMBL36001,0,0.9198122,12
CHEMBL28358,0,0.9198122,13
CHEMBL434,1,0.91747683,14
CHEMBL22186,0,0.9173353,15
CHEMBL4559961,0,0.91174,16
CHEMBL27528,0,0.91174,17
CHEMBL22860,0,0.9100543,18
CHEMBL3311536,0,0.9097351,19
CHEMBL9612,0,0.90912485,20
CHEMBL33131,0,0.90500647,21
CHEMBL23045,0,0.9049237,22
CHEMBL13,1,0.90193325,23
CHEMBL32302,0,0.9015754,24
CHEMBL4435752,0,0.9015754,25
CHEMBL33226,0,0.9015754,26
CHEMBL4435505,0,0.9014721,27
CHEMBL31986,0,0.9012873,28
CHEMBL41876,0,0.90063256,29
CHEMBL4435391,0,0.8987865,30
CHEMBL30652,0,0.897501,31
CHEMBL1185377,0,0.89604986,32
CHEMBL4434926,0,0.89604986,33
CHEMBL36195,0,0.8933614,34
CHEMBL22417,0,0.8933614,35
CHEMBL31615,0,0.8933614,36
CHEMBL25120,0,0.8933614,37
CHEMBL27965,0,0.8933614,38
CHEMBL25835,0,0.8933614,39
CHEMBL21383,0,0.8933614,40
CHEMBL3309546,0,0.8933614,41
CHEMBL1165741,0,0.8933614,42
CHEMBL16387,0,0.8933614,43
CHEMBL7641,0,0.8933614,44
CHEMBL18024,0,0.8932793,45
CHEMBL17634,0,0.8932573,46
CHEMBL38078,0,0.8932573,47
CHEMBL21818,0,0.89238566,48
CHEMBL25075,0,0.8914477,49
CHEMBL8997,0,0.8914477,50
CHEMBL29787,0,0.8892599,51
CHEMBL27948,0,0.8884766,52
CHEMBL22773,0,0.8884766,53
CHEMBL38262,0,0.88743246,54
CHEMBL28873,0,0.88743246,55
CHEMBL12585,0,0.88743246,56
CHEMBL16873,0,0.88743246,57
CHEMBL21516,0,0.8873233,58
CHEMBL21968,0,0.887085,59
CHEMBL27158,0,0.8846783,60
CHEMBL4435069,0,0.8822021,61
CHEMBL23404,0,0.8808537,62
CHEMBL32692,0,0.8808537,63
CHEMBL27049,0,0.8808537,64
CHEMBL4434768,0,0.8808537,65
CHEMBL35625,0,0.878108,66
CHEMBL22500,0,0.87562,67
CHEMBL7420,0,0.87352926,68
CHEMBL16110,0,0.87352926,69
CHEMBL3310742,0,0.87333953,70
CHEMBL19576,0,0.8730812,71
CHEMBL4435447,0,0.8730812,72
CHEMBL14185,0,0.87272894,73
CHEMBL3310263,0,0.87272894,74
CHEMBL571967,0,0.87271017,75
CHEMBL1098866,0,0.87218255,76
CHEMBL17607,0,0.87122184,77
CHEMBL22390,0,0.8707908,78
CHEMBL7431,0,0.87064093,79
CHEMBL20393,0,0.8700701,80
CHEMBL14494,0,0.86962223,81
CHEMBL42467,0,0.86962223,82
CHEMBL42432,0,0.8692458,83
CHEMBL27476,0,0.8690657,84
